URL,HomeTeam,HomeGoals,AwayTeam,AwayGoals
https://soccer365.ru/games/2084464/,Борац БЛ,1,Эгнатия,0
https://soccer365.ru/games/2084465/,Хамрун Спартанс,0,Линкольн Ред Импс,1
https://soccer365.ru/games/2084466/,УЭ Санта-Колома,1,Балканы,2
https://soccer365.ru/games/2084467/,Флора,0,Целе,5
https://soccer365.ru/games/2084468/,КИ Клаксвик,2,Дифферданж 03,0
https://soccer365.ru/games/2084469/,Паневежис,3,ХИК,0
https://soccer365.ru/games/2084470/,РФШ,3,Ларн,0
https://soccer365.ru/games/2084471/,Викингур Рейкьявик,0,Шемрок,0
https://soccer365.ru/games/2084472/,Виртус,1,ФКСБ,7
https://soccer365.ru/games/2084473/,Лудогорец,3,Динамо Батуми,1
https://soccer365.ru/games/2084474/,Ордабасы,0,Петрокуб,0
https://soccer365.ru/games/2084475/,Динамо Минск,0,Пюник,0
https://soccer365.ru/games/2084476/,Слован Братислава,4,Штруга,2
https://soccer365.ru/games/2084477/,ТНС,3,Дечич,0
https://soccer365.ru/games/2084478/,Эгнатия,2,Борац БЛ,1
https://soccer365.ru/games/2084479/,Линкольн Ред Импс,0,Хамрун Спартанс,1
https://soccer365.ru/games/2084480/,Балканы,1,УЭ Санта-Колома,2
https://soccer365.ru/games/2084481/,Целе,2,Флора,1
https://soccer365.ru/games/2084482/,Дифферданж 03,0,КИ Клаксвик,0
https://soccer365.ru/games/2084483/,ХИК,1,Паневежис,1
https://soccer365.ru/games/2084484/,Ларн,0,РФШ,4
https://soccer365.ru/games/2084485/,Шемрок,2,Викингур Рейкьявик,1
https://soccer365.ru/games/2084486/,ФКСБ,4,Виртус,0
https://soccer365.ru/games/2084487/,Динамо Батуми,1,Лудогорец,0
https://soccer365.ru/games/2084488/,Петрокуб,1,Ордабасы,0
https://soccer365.ru/games/2084489/,Пюник,0,Динамо Минск,1
https://soccer365.ru/games/2084490/,Штруга,1,Слован Братислава,2
https://soccer365.ru/games/2084491/,Дечич,1,ТНС,1
https://soccer365.ru/games/2085934/,Лудогорец,2,Динамо Минск,0
https://soccer365.ru/games/2085935/,АПОЭЛ,1,Петрокуб,0
https://soccer365.ru/games/2085936/,Ференцварош,5,ТНС,0
https://soccer365.ru/games/2085937/,ПАОК,3,Борац БЛ,2
https://soccer365.ru/games/2085938/,Буде-Глимт,4,РФШ,0
https://soccer365.ru/games/2085939/,Мальмё,4,КИ Клаксвик,1
https://soccer365.ru/games/2085940/,Шемрок,0,Спарта Прага,2
https://soccer365.ru/games/2085941/,УЭ Санта-Колома,0,Мидтъюлланн,3
https://soccer365.ru/games/2085942/,Целе,1,Слован Братислава,1
https://soccer365.ru/games/2085943/,Паневежис,0,Ягеллония,4
https://soccer365.ru/games/2085944/,Линкольн Ред Импс,0,Карабах Агдам,2
https://soccer365.ru/games/2085945/,ФКСБ,1,Маккаби Т-А,1
https://soccer365.ru/games/2085946/,Лугано,3,Фенербахче,4
https://soccer365.ru/games/2085947/,Динамо Киев,6,Партизан,2
https://soccer365.ru/games/2085948/,Динамо Минск,1,Лудогорец,0
https://soccer365.ru/games/2085949/,Петрокуб,1,АПОЭЛ,1
https://soccer365.ru/games/2085950/,ТНС,1,Ференцварош,2
